Network,ParkCode,ShortName,LongName,SiteCode,SiteCodeWQX,SiteName,Lat,Long,Type,CharacteristicName,DisplayName,DataName,Category,CategoryDisplay,Units,LowerPoint,UpperPoint,DataType,LowerDescription,UpperDescription,AssessmentDetails,LowerPointCondition,UpperPointCondition,IsActiveSiteCode,IsActiveCharacteristicName,IsActive
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,AirTemp,Air Temperature,"Temperature, air",AirTemp,Air Temperature,°C,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Discharge,Discharge,Base flow discharge,Discharge,Discharge,cfs,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Depth,Depth,Cross-Section Depth,Depth,Depth,ft,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,WaterTemp,Water Temperature,"Temperature, water",WaterTemp,Water Temperature,°C,,32.0,numeric,,Acceptable water temperature is below 32 degrees C for warm water streams.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",,>=,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,SC,Specific Conductance,Specific conductance,SC,Specific Conductance,µS/cm,,171.0,numeric,,Acceptable specific conductance is below 171 uS/cm.,Morgan et al. 2007,,>=,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,pH,pH,pH,pH,pH,pH Units,6.0,9.0,numeric,Acceptable pH is greater than or equal to 6.,Acceptable pH is less than or equal to 9.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<,>,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,DOmg,DO Concentration,Dissolved oxygen (DO),DOmg,Dissolved Oxygen,mg/L,5.0,,numeric,Acceptable dissolved oxygen is above 5.0 mg/L for warm water streams.,,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<=,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,DOper,DO Saturation,Dissolved oxygen saturation,DOper,Dissolved Oxygen,percent,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,ANC,ANC,Acid Neutralizing Capacity (ANC),ANC,Acid Neutralizing Capacity,µeq/L,600.0,,numeric,Acceptable acid neutralizing capacity is above 600 ueq/L for karst terrain.,,Weeks et al. 2007,<=,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,WetWidth,Wetted Width,Wetted Width,WetWidth,Wetted Width,ft,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Velocity,Stream Velocity,Velocity - stream,Velocity,Velocity,ft/s,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,AirPress,Air Pressure,Barometric pressure,AirPress,Air Pressure,mm Hg,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Conductivity,Conductivity,Conductivity,Conductivity,Conductivity,µS/cm,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Salinity,Salinity,Salinity,Salinity,Salinity,ppt,,0.5,numeric,,Acceptable salinity is less than or equal to 0.5 ppt.,Ramasamy et al. 2014,,>,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,TDS,Total Dissolved Solids,Total dissolved solids,TDS,Total Dissolved Solids,mg/L,,,numeric,,,,,,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,TotalN,Total Nitrogen,"Total Nitrogen, mixed forms",TotalN,Total Nitrogen,mg/L,,0.31,numeric,,Acceptable total nitrogen is less than or equal to 0.31 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,True,True
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,TotalP,Total Phosphorus,"Total Phosphorus, mixed forms",TotalP,Total Phosphorus,mg/L,,0.01,numeric,,Acceptable total phosphorus is less than or equal to 0.01 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,TotalDN,Total Dissolved Nitrogen,"Total Dissolved Nitrogen, mixed forms",TotalDN,Total Dissolved Nitrogen,mg/L,,,numeric,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,TotalDP,Total Dissolved Phosphorus,"Total Dissolved Phosphorus, mixed forms",TotalDP,Total Dissolved Phosphorus,mg/L,,,numeric,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Ammonia,Ammonia,Ammonia,Ammonia,Ammonia,mg/L,,,numeric,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Nitrate,Nitrate,Nitrate,Nitrate,Nitrate,mg/L,,0.31,numeric,,Acceptable nitrate is less than or equal to 0.31 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Weather,Weather,Weather condition (WMO code 4501) (choice list),Weather,Weather Conditions,,,,factor,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Algae,Algae,"Substrate algae, % (choice list)",Algae,Algae,,,,factor,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,AlgaeColor,Algae Color,Substrate algae color,AlgaeColor,Algae Color,,,,factor,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,WaterAppearance,Water Appearance,Water appearance (text),WaterAppearance,Water Appearance,,,,factor,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,FlowCondition,Flow Condition,Stream flow (choice list),FlowCondition,Flow Condition,,,,factor,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,mg/L,,,numeric,,,,,,True,False,False
NCRN,ANTI,Antietam,Antietam National Battlefield,NCRN_ANTI_SHCK,NCRN_ANTI_SHCK,Sharpsburg Creek,39.454865,-77.737697,Stream,Turbidity,Turbidity,Turbidity,Turbidity,Turbidity,ntu,,,numeric,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,AirTemp,Air Temperature,"Temperature, air",AirTemp,Air Temperature,°C,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Discharge,Discharge,Base flow discharge,Discharge,Discharge,cfs,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Depth,Depth,Cross-Section Depth,Depth,Depth,ft,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,WaterTemp,Water Temperature,"Temperature, water",WaterTemp,Water Temperature,°C,,20.0,numeric,,Acceptable water temperature is below 20 degrees C for cold water streams.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",,>=,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,SC,Specific Conductance,Specific conductance,SC,Specific Conductance,µS/cm,,171.0,numeric,,Acceptable specific conductance is below 171 uS/cm.,Morgan et al. 2007,,>=,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,pH,pH,pH,pH,pH,pH Units,6.0,9.0,numeric,Acceptable pH is greater than or equal to 6.,Acceptable pH is less than or equal to 9.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<,>,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,DOmg,DO Concentration,Dissolved oxygen (DO),DOmg,Dissolved Oxygen,mg/L,6.0,,numeric,Acceptable dissolved oxygen is above 6.0 mg/L for cold water streams.,,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<=,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,DOper,DO Saturation,Dissolved oxygen saturation,DOper,Dissolved Oxygen,percent,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,ANC,ANC,Acid Neutralizing Capacity (ANC),ANC,Acid Neutralizing Capacity,µeq/L,200.0,,numeric,Acceptable acid neutralizing capacity is above 200 ueq/L for non-karst terrain.,,Weeks et al. 2007,<=,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,WetWidth,Wetted Width,Wetted Width,WetWidth,Wetted Width,ft,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Velocity,Stream Velocity,Velocity - stream,Velocity,Velocity,ft/s,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,AirPress,Air Pressure,Barometric pressure,AirPress,Air Pressure,mm Hg,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Conductivity,Conductivity,Conductivity,Conductivity,Conductivity,µS/cm,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Salinity,Salinity,Salinity,Salinity,Salinity,ppt,,0.5,numeric,,Acceptable salinity is less than or equal to 0.5 ppt.,Ramasamy et al. 2014,,>,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,TDS,Total Dissolved Solids,Total dissolved solids,TDS,Total Dissolved Solids,mg/L,,,numeric,,,,,,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,TotalN,Total Nitrogen,"Total Nitrogen, mixed forms",TotalN,Total Nitrogen,mg/L,,0.31,numeric,,Acceptable total nitrogen is less than or equal to 0.31 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,True,True
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,TotalP,Total Phosphorus,"Total Phosphorus, mixed forms",TotalP,Total Phosphorus,mg/L,,0.01,numeric,,Acceptable total phosphorus is less than or equal to 0.01 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,TotalDN,Total Dissolved Nitrogen,"Total Dissolved Nitrogen, mixed forms",TotalDN,Total Dissolved Nitrogen,mg/L,,,numeric,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,TotalDP,Total Dissolved Phosphorus,"Total Dissolved Phosphorus, mixed forms",TotalDP,Total Dissolved Phosphorus,mg/L,,,numeric,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Ammonia,Ammonia,Ammonia,Ammonia,Ammonia,mg/L,,,numeric,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Nitrate,Nitrate,Nitrate,Nitrate,Nitrate,mg/L,,0.31,numeric,,Acceptable nitrate is less than or equal to 0.31 mg/L in nutrient ecoregion XI.,EPA 2000,,>,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Weather,Weather,Weather condition (WMO code 4501) (choice list),Weather,Weather Conditions,,,,factor,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Algae,Algae,"Substrate algae, % (choice list)",Algae,Algae,,,,factor,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,AlgaeColor,Algae Color,Substrate algae color,AlgaeColor,Algae Color,,,,factor,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,WaterAppearance,Water Appearance,Water appearance (text),WaterAppearance,Water Appearance,,,,factor,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,FlowCondition,Flow Condition,Stream flow (choice list),FlowCondition,Flow Condition,,,,factor,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,mg/L,,,numeric,,,,,,True,False,False
NCRN,CATO,Catoctin,Catoctin Mountain Park,NCRN_CATO_OWCK,NCRN_CATO_OWCK,Owens Creek,39.66107928,-77.48152403,Stream,Turbidity,Turbidity,Turbidity,Turbidity,Turbidity,ntu,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,AirTemp,Air Temperature,"Temperature, air",AirTemp,Air Temperature,°C,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Discharge,Discharge,Base flow discharge,Discharge,Discharge,cfs,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Depth,Depth,Cross-Section Depth,Depth,Depth,ft,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,WaterTemp,Water Temperature,"Temperature, water",WaterTemp,Water Temperature,°C,,32.0,numeric,,Acceptable water temperature is below 32 degrees C for warm water streams.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",,>=,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,SC,Specific Conductance,Specific conductance,SC,Specific Conductance,µS/cm,,171.0,numeric,,Acceptable specific conductance is below 171 uS/cm.,Morgan et al. 2007,,>=,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,pH,pH,pH,pH,pH,pH Units,6.0,9.0,numeric,Acceptable pH is greater than or equal to 6.,Acceptable pH is less than or equal to 9.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<,>,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,DOmg,DO Concentration,Dissolved oxygen (DO),DOmg,Dissolved Oxygen,mg/L,5.0,,numeric,Acceptable dissolved oxygen is above 5.0 mg/L for warm water streams and above 6.0 mg/L for cold water streams.,,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",<=,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,DOper,DO Saturation,Dissolved oxygen saturation,DOper,Dissolved Oxygen,percent,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,ANC,ANC,Acid Neutralizing Capacity (ANC),ANC,Acid Neutralizing Capacity,µeq/L,200.0,,numeric,Acceptable acid neutralizing capacity is above 200 ueq/L for non-karst terrain.,,Weeks et al. 2007,<=,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,WetWidth,Wetted Width,Wetted Width,WetWidth,Wetted Width,ft,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Velocity,Stream Velocity,Velocity - stream,Velocity,Velocity,ft/s,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,AirPress,Air Pressure,Barometric pressure,AirPress,Air Pressure,mm Hg,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Conductivity,Conductivity,Conductivity,Conductivity,Conductivity,µS/cm,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Salinity,Salinity,Salinity,Salinity,Salinity,ppt,,0.5,numeric,,Acceptable salinity is less than or equal to 0.5 ppt.,Ramasamy et al. 2014,,>,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,TDS,Total Dissolved Solids,Total dissolved solids,TDS,Total Dissolved Solids,mg/L,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,TotalN,Total Nitrogen,"Total Nitrogen, mixed forms",TotalN,Total Nitrogen,mg/L,,0.69,numeric,,Acceptable total nitrogen is less than or equal to 0.69 mg/L in nutrient ecoregion IX.,EPA 2000,,>,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,TotalP,Total Phosphorus,"Total Phosphorus, mixed forms",TotalP,Total Phosphorus,mg/L,,0.037,numeric,,Acceptable total phosphorus is less than or equal to 0.037 mg/L in nutrient ecoregion IX.,EPA 2000,,>,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,TotalDN,Total Dissolved Nitrogen,"Total Dissolved Nitrogen, mixed forms",TotalDN,Total Dissolved Nitrogen,mg/L,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,TotalDP,Total Dissolved Phosphorus,"Total Dissolved Phosphorus, mixed forms",TotalDP,Total Dissolved Phosphorus,mg/L,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Ammonia,Ammonia,Ammonia,Ammonia,Ammonia,mg/L,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Nitrate,Nitrate,Nitrate,Nitrate,Nitrate,mg/L,,2.0,numeric,,Acceptable nitrate is less than or equal to 2.0 mg/L in nutrient ecoregion IX.,EPA 2000,,>,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Weather,Weather,Weather condition (WMO code 4501) (choice list),Weather,Weather Conditions,,,,factor,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Algae,Algae,"Substrate algae, % (choice list)",Algae,Algae,,,,factor,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,AlgaeColor,Algae Color,Substrate algae color,AlgaeColor,Algae Color,,,,factor,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,WaterAppearance,Water Appearance,Water appearance (text),WaterAppearance,Water Appearance,,,,factor,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,FlowCondition,Flow Condition,Stream flow (choice list),FlowCondition,Flow Condition,,,,factor,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,Orthophosphate,mg/L,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_MIRU,NCRN_GWMP_MIRU,Mine Run,38.99987894,-77.25615235,Stream,Turbidity,Turbidity,Turbidity,Turbidity,Turbidity,ntu,,,numeric,,,,,,True,False,False
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_TURU,NCRN_GWMP_TURU,Turkey Run,38.96341835,-77.15764198,Stream,AirTemp,Air Temperature,"Temperature, air",AirTemp,Air Temperature,°C,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_TURU,NCRN_GWMP_TURU,Turkey Run,38.96341835,-77.15764198,Stream,Discharge,Discharge,Base flow discharge,Discharge,Discharge,cfs,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_TURU,NCRN_GWMP_TURU,Turkey Run,38.96341835,-77.15764198,Stream,Depth,Depth,Cross-Section Depth,Depth,Depth,ft,,,numeric,,,,,,True,True,True
NCRN,GWMP,GW Parkway,George Washington Memorial Parkway,NCRN_GWMP_TURU,NCRN_GWMP_TURU,Turkey Run,38.96341835,-77.15764198,Stream,WaterTemp,Water Temperature,"Temperature, water",WaterTemp,Water Temperature,°C,,32.0,numeric,,Acceptable water temperature is below 32 degrees C for warm water streams.,"District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011",,>=,True,True,True
